plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ engine_trig_fibres engine_data_fibres engine_ctrl_fibres
1 3 3 FI 251.160 435.022 1 6 334.895 386.655 334.829 483.341 251.171 531.641 167.405 483.355 167.471 386.668 251.129 338.368 334.895 386.655 2 1.000 7.000 2.442 3.000 2.764 3.000 100 0 False 6 7.200 0 60.000 1 103030 103031 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3 2 2
1 3 4 FI 167.438 580.031 1 6 251.171 531.641 251.155 628.414 167.497 676.714 83.682 628.341 83.747 531.655 167.405 483.355 251.171 531.641 2 1.000 5.000 1.971 3.000 2.086 3.000 101 0 False 6 7.200 0 73.898 1 103040 103041 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 5 FI 83.715 725.039 1 6 167.497 676.714 167.432 773.400 83.687 821.750 0.008 773.414 -0.063 676.691 83.682 628.341 167.497 676.714 2 1.000 4.000 1.568 2.000 1.607 2.000 103 0 True 6 7.200 0 83.414 1 103050 103051 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 6 FM 0.002 870.043 5 6 83.687 821.750 83.708 918.386 -0.037 966.736 -83.716 918.400 -83.737 821.764 0.008 773.414 83.687 821.750 2 1.000 4.000 1.045 2.000 1.020 2.000 106 1 False 3 3.600 0 90.000 0 103060 103060 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 7 FO -83.721 1015.051 5 6 -0.037 966.736 -0.016 1063.373 -83.760 1111.723 -167.439 1063.386 -167.460 966.750 -83.716 918.400 -0.037 966.736 2 1.000 3.000 0.834 1.000 0.793 1.000 106 1 False 3 3.600 0 94.715 0 103070 103070 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 8 FO -167.443 1160.060 5 6 -83.760 1111.723 -83.739 1208.359 -167.484 1256.709 -251.163 1208.373 -251.184 1111.736 -167.439 1063.386 -83.760 1111.723 2 1.000 3.000 0.680 1.000 0.649 1.000 106 0 True 3 3.600 0 98.213 0 103080 103080 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 9 FO -251.165 1305.069 5 6 -167.484 1256.709 -167.413 1353.432 -251.158 1401.782 -334.887 1353.359 -334.908 1256.723 -251.163 1208.373 -167.484 1256.709 2 1.000 2.000 0.547 1.000 0.536 1.000 106 0 False 3 3.600 0 100.894 0 103090 103090 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 3 10 aOeT -334.883 1450.086 2 4 -251.137 1498.418 -418.631 1401.709 -334.887 1353.359 -251.158 1401.782 -251.137 1498.418 0.000 0.000 0.000 0.000 2 1.000 2.000 0.227 1.000 0.227 1.000 106 0 False 3 3.600 0 103.004 0 103100 103100 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
1 4 0 FI 669.760 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 1 1.000 5.000 1.738 2.000 1.808 2.000 0 0 True 6 7.200 0 0.000 1 104000 104001 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_14 DAQ_2_2 3 2 2
1 4 1 FI 586.040 145.010 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 1 1.000 5.000 1.971 3.000 2.086 3.000 1 0 False 6 7.200 0 13.898 1 104010 104011 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_7 DAQ_1_5 2 1 1
